"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","salary","Status"
"9",0.89,1,5,224,5,0,0,"0","left"
"12",0.11,0.81,6,305,4,0,0,"0","left"
"24",0.46,0.57,2,139,3,0,0,"0","left"
"27",0.82,0.87,4,239,5,0,0,"0","left"
"32",0.45,0.57,2,134,3,0,0,"0","left"
"34",0.45,0.55,2,140,3,0,0,"0","left"
"36",0.1,0.94,6,255,4,0,0,"0","left"
"37",0.38,0.46,2,137,3,0,0,"0","left"
"40",0.41,0.54,2,152,3,0,0,"0","left"
"46",0.84,0.74,3,182,4,0,0,"0","left"
"61",0.85,0.91,5,226,5,0,0,"1","left"
"67",0.43,0.54,2,153,3,0,0,"1","left"
"70",0.43,0.5,2,135,3,0,0,"1","left"
"74",0.09,0.87,7,295,4,0,0,"0","left"
"79",0.43,0.56,2,157,3,0,0,"0","left"
"88",0.44,0.45,2,132,3,0,0,"0","left"
"89",0.37,0.57,2,130,3,0,0,"0","left"
"91",0.4,0.5,2,130,3,0,0,"0","left"
"98",0.1,0.84,6,279,4,0,0,"0","left"
"101",0.38,0.52,2,154,3,0,0,"1","left"
"104",0.09,0.94,7,267,4,0,0,"1","left"
"108",0.44,0.5,2,148,3,0,0,"1","left"
"112",0.09,0.85,6,289,4,0,0,"2","left"
"117",0.86,0.68,5,263,2,0,0,"1","left"
"122",0.4,0.46,2,135,3,0,0,"0","left"
"126",0.11,0.92,6,260,4,0,0,"0","left"
"132",0.38,0.57,2,140,3,0,0,"0","left"
"134",0.44,0.51,2,138,3,0,0,"0","left"
"137",0.1,0.84,6,283,4,1,0,"0","left"
"139",0.74,1,4,249,5,0,0,"0","left"
"143",0.11,0.8,6,256,4,0,0,"0","left"
"150",0.39,0.5,2,147,3,0,0,"0","left"
"153",0.37,0.52,2,143,3,0,0,"0","left"
"155",0.39,0.48,2,160,3,0,0,"0","left"
"157",0.83,1,5,240,5,0,0,"0","left"
"160",0.45,0.45,2,132,3,0,0,"0","left"
"162",0.9,0.98,5,243,6,0,0,"0","left"
"167",0.43,0.55,2,129,3,0,0,"0","left"
"168",0.31,0.54,5,132,5,0,0,"0","left"
"172",0.41,0.46,2,160,3,0,1,"0","left"
"173",0.11,0.78,7,278,4,0,0,"0","left"
"174",0.1,0.88,6,284,4,0,0,"0","left"
"176",0.54,0.74,4,164,2,0,0,"0","left"
"178",0.38,0.5,2,140,3,0,0,"1","left"
"179",0.37,0.51,2,127,3,0,0,"1","left"
"180",0.11,0.85,6,308,5,0,0,"1","left"
"181",0.4,0.47,2,146,3,0,0,"1","left"
"185",0.36,0.55,2,141,3,0,0,"1","left"
"187",0.09,0.85,6,297,4,0,0,"1","left"
"188",0.4,0.46,2,143,3,0,0,"1","left"
"194",0.09,0.82,6,249,4,0,0,"1","left"
"195",0.89,0.95,4,275,5,0,0,"1","left"
"196",0.09,0.8,6,304,4,0,0,"0","left"
"199",0.1,0.89,7,285,4,0,0,"0","left"
"201",0.9,0.82,5,259,5,0,0,"0","left"
"203",0.76,1,5,219,5,0,0,"0","left"
"206",0.38,0.5,2,153,3,0,0,"0","left"
"215",0.4,0.53,2,151,3,0,0,"0","left"
"229",0.85,0.95,5,236,5,0,0,"0","left"
"236",0.83,0.85,4,255,5,0,0,"0","left"
"238",0.43,0.45,2,135,3,0,0,"0","left"
"249",0.87,0.91,4,228,5,0,0,"0","left"
"252",0.79,0.92,5,254,6,0,0,"0","left"
"257",0.11,0.81,6,266,4,1,0,"1","left"
"265",0.42,0.5,2,139,3,0,0,"1","left"
"266",0.84,0.93,4,251,5,0,0,"1","left"
"270",0.38,0.86,6,139,6,0,0,"1","left"
"275",0.11,0.9,6,254,4,0,0,"0","left"
"279",0.09,0.78,6,254,4,0,0,"0","left"
"292",0.87,0.84,5,231,5,0,0,"0","left"
"301",0.45,0.55,2,151,3,0,0,"1","left"
"303",0.1,0.77,7,250,5,0,0,"1","left"
"310",0.1,0.94,6,285,4,0,0,"1","left"
"311",0.1,0.93,7,305,4,0,0,"1","left"
"313",0.4,0.54,2,139,3,0,0,"0","left"
"317",0.43,0.47,2,135,3,0,0,"0","left"
"320",0.4,0.46,2,130,3,0,0,"0","left"
"326",0.41,0.52,2,135,3,0,0,"0","left"
"329",0.1,0.85,6,266,4,0,0,"0","left"
"331",0.38,0.57,2,140,3,0,0,"0","left"
"337",0.77,0.87,5,266,5,0,0,"1","left"
"341",0.09,0.89,7,308,5,0,0,"1","left"
"342",0.37,0.47,2,141,3,0,0,"1","left"
"352",0.48,0.93,3,219,6,0,0,"0","left"
"371",0.37,0.45,2,142,3,0,0,"0","left"
"372",0.36,0.51,2,135,3,0,0,"0","left"
"380",0.77,0.93,4,231,5,0,0,"1","left"
"381",0.44,0.45,2,156,3,0,0,"1","left"
"383",0.45,0.48,2,144,3,0,0,"1","left"
"384",0.38,0.51,2,159,3,0,0,"1","left"
"392",0.45,0.55,2,148,3,0,0,"0","left"
"396",0.45,0.46,2,128,3,0,0,"0","left"
"405",0.76,0.87,5,245,5,0,0,"0","left"
"406",0.47,0.5,4,254,4,0,0,"0","left"
"410",0.82,0.98,4,233,5,0,0,"0","left"
"414",0.45,0.54,2,142,3,0,0,"1","left"
"415",0.91,0.97,5,233,5,0,0,"1","left"
"417",0.82,1,4,229,6,0,0,"1","left"
"426",0.42,0.51,2,136,3,0,0,"1","left"
"427",0.74,0.92,4,261,5,0,0,"1","left"
"431",0.89,0.65,5,195,6,0,0,"0","left"
"437",0.11,0.85,6,261,4,0,0,"0","left"
"439",0.77,0.9,4,237,5,0,0,"0","left"
"442",0.36,0.78,2,151,4,0,0,"0","left"
"450",0.81,0.92,5,239,5,0,0,"0","left"
"453",0.1,0.87,6,286,4,0,0,"1","left"
"460",0.4,0.48,2,137,3,0,0,"1","left"
"467",0.37,0.48,2,134,3,0,0,"1","left"
"468",0.09,0.95,6,292,4,0,0,"1","left"
"474",0.42,0.56,2,149,3,0,0,"0","left"
"476",0.45,0.57,2,134,3,0,0,"0","left"
"483",0.77,0.87,4,242,6,0,0,"0","left"
"485",0.38,0.52,2,145,3,0,0,"0","left"
"491",0.53,0.56,4,281,6,0,0,"1","left"
"499",0.44,0.48,2,143,3,0,0,"1","left"
"512",0.53,0.85,2,164,5,0,0,"0","left"
"513",0.09,0.96,6,259,4,0,0,"0","left"
"526",0.41,0.56,2,150,3,0,0,"0","left"
"531",0.4,0.56,2,137,3,0,0,"1","left"
"535",0.75,0.85,5,240,6,1,0,"1","left"
"536",0.37,0.56,2,156,3,0,0,"1","left"
"541",0.45,0.54,2,129,3,0,0,"2","left"
