"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","salary","Status"
"1",0.38,0.53,2,157,3,0,0,"0","left"
"2",0.8,0.86,5,262,6,0,0,"1","left"
"3",0.11,0.88,7,272,4,0,0,"1","left"
"4",0.72,0.87,5,223,5,0,0,"0","left"
"5",0.37,0.52,2,159,3,0,0,"0","left"
"6",0.41,0.5,2,153,3,0,0,"0","left"
"7",0.1,0.77,6,247,4,0,0,"0","left"
"8",0.92,0.85,5,259,5,0,0,"0","left"
"10",0.42,0.53,2,142,3,0,0,"0","left"
"11",0.45,0.54,2,135,3,0,0,"0","left"
"13",0.84,0.92,4,234,5,0,0,"0","left"
"14",0.41,0.55,2,148,3,0,0,"0","left"
"15",0.36,0.56,2,137,3,0,0,"0","left"
"16",0.38,0.54,2,143,3,0,0,"0","left"
"17",0.45,0.47,2,160,3,0,0,"0","left"
"18",0.78,0.99,4,255,6,0,0,"0","left"
"19",0.45,0.51,2,160,3,1,1,"0","left"
"20",0.76,0.89,5,262,5,0,0,"0","left"
"21",0.11,0.83,6,282,4,0,0,"0","left"
"22",0.38,0.55,2,147,3,0,0,"0","left"
"23",0.09,0.95,6,304,4,0,0,"0","left"
"25",0.4,0.53,2,158,3,0,0,"0","left"
"26",0.89,0.92,5,242,5,0,0,"0","left"
"28",0.4,0.49,2,135,3,0,0,"0","left"
"29",0.41,0.46,2,128,3,0,0,"0","left"
"30",0.38,0.5,2,132,3,0,0,"0","left"
"31",0.09,0.62,6,294,4,0,0,"0","left"
"33",0.4,0.51,2,145,3,0,0,"0","left"
"35",0.84,0.87,4,246,6,0,0,"0","left"
"38",0.45,0.5,2,126,3,0,0,"0","left"
"39",0.11,0.89,6,306,4,0,0,"0","left"
"41",0.87,0.88,5,269,5,0,0,"0","left"
"42",0.45,0.48,2,158,3,0,0,"0","left"
"43",0.4,0.46,2,127,3,0,0,"0","left"
"44",0.1,0.8,7,281,4,0,0,"0","left"
"45",0.09,0.89,6,276,4,0,0,"0","left"
"47",0.4,0.55,2,147,3,0,0,"0","left"
"48",0.57,0.7,3,273,6,0,0,"0","left"
"49",0.4,0.54,2,148,3,0,0,"0","left"
"50",0.43,0.47,2,147,3,0,0,"0","left"
"51",0.13,0.78,6,152,2,0,0,"0","left"
"52",0.44,0.55,2,135,3,0,0,"0","left"
"53",0.38,0.55,2,134,3,0,0,"0","left"
"54",0.39,0.54,2,132,3,0,0,"0","left"
"55",0.1,0.92,7,307,4,0,0,"0","left"
"56",0.37,0.46,2,140,3,0,0,"0","left"
"57",0.11,0.94,7,255,4,0,0,"0","left"
"58",0.1,0.81,6,309,4,0,0,"0","left"
"59",0.38,0.54,2,128,3,0,0,"0","left"
"60",0.85,1,4,225,5,0,0,"0","left"
"62",0.11,0.93,7,308,4,0,0,"1","left"
"63",0.1,0.95,6,244,5,0,0,"1","left"
"64",0.36,0.56,2,132,3,0,0,"1","left"
"65",0.11,0.94,6,286,4,0,0,"1","left"
"66",0.81,0.7,6,161,4,0,0,"1","left"
"68",0.9,0.98,4,264,6,0,0,"1","left"
"69",0.76,0.86,5,223,5,1,0,"1","left"
"71",0.74,0.99,2,277,3,0,0,"1","left"
"72",0.09,0.77,5,275,4,0,0,"1","left"
"73",0.45,0.49,2,149,3,0,0,"2","left"
"75",0.11,0.97,6,277,4,0,0,"1","left"
"76",0.11,0.79,7,306,4,0,0,"1","left"
"77",0.1,0.83,6,295,4,0,0,"1","left"
"78",0.4,0.54,2,137,3,0,0,"1","left"
"80",0.39,0.56,2,142,3,0,0,"0","left"
"81",0.45,0.54,2,140,3,0,0,"0","left"
"82",0.38,0.49,2,151,3,0,0,"0","left"
"83",0.79,0.59,4,139,3,0,1,"0","left"
"84",0.84,0.85,4,249,6,0,0,"0","left"
"85",0.11,0.77,6,291,4,0,0,"0","left"
"86",0.11,0.87,6,305,4,0,0,"0","left"
"87",0.17,0.84,5,232,3,0,0,"0","left"
"90",0.1,0.79,6,291,4,0,0,"0","left"
"92",0.89,1,5,246,5,0,0,"0","left"
"93",0.42,0.48,2,143,3,0,0,"0","left"
"94",0.46,0.55,2,129,3,0,0,"0","left"
"95",0.09,0.83,6,255,4,0,0,"0","left"
"96",0.37,0.51,2,155,3,0,0,"0","left"
"97",0.1,0.77,6,265,4,0,0,"0","left"
"99",0.11,0.97,6,284,4,0,0,"0","left"
"100",0.9,1,5,221,6,0,0,"1","left"
"102",0.36,0.52,2,147,3,0,0,"1","left"
"103",0.42,0.46,2,150,3,0,0,"1","left"
"105",0.43,0.52,2,158,3,0,0,"1","left"
"106",0.24,0.46,7,224,5,0,0,"1","left"
"107",0.91,1,4,257,5,0,0,"1","left"
"109",0.71,0.87,3,177,4,0,0,"1","left"
"110",0.4,0.49,2,155,3,0,0,"1","left"
"111",0.43,0.47,2,144,3,0,0,"1","left"
"113",0.43,0.52,2,160,3,0,0,"0","left"
"114",0.9,0.96,4,258,5,0,0,"1","left"
"115",0.84,1,5,234,5,0,0,"1","left"
"116",0.37,0.48,2,137,3,0,0,"1","left"
"118",0.11,0.84,6,251,4,0,0,"0","left"
"119",0.37,0.57,2,133,3,0,0,"0","left"
"120",0.4,0.46,2,132,3,0,0,"0","left"
"121",0.14,0.62,4,158,4,1,0,"0","left"
"123",0.75,1,4,216,6,0,0,"0","left"
"124",0.11,0.84,6,300,5,1,0,"0","left"
"125",0.46,0.49,2,138,3,0,0,"0","left"
"127",0.38,0.49,2,132,3,0,0,"0","left"
"128",0.7,0.89,3,183,5,0,0,"0","left"
"129",0.09,0.82,6,250,4,0,0,"0","left"
"130",0.37,0.45,2,151,3,0,0,"0","left"
"131",0.1,0.83,6,292,4,0,0,"0","left"
"133",0.9,1,5,221,5,0,0,"0","left"
"135",0.36,0.5,2,132,3,0,0,"0","left"
"136",0.31,0.84,7,133,5,0,0,"0","left"
"138",0.42,0.48,2,129,3,0,0,"0","left"
"140",0.73,0.87,5,257,5,0,0,"0","left"
"141",0.09,0.96,6,245,4,0,0,"0","left"
"142",0.45,0.53,2,155,3,0,0,"0","left"
"144",0.37,0.47,2,152,3,0,0,"0","left"
"145",0.84,0.99,4,267,5,0,0,"0","left"
"146",0.41,0.46,2,151,3,0,0,"0","left"
"147",0.76,0.92,4,239,5,0,0,"0","left"
"148",0.11,0.87,6,306,4,0,0,"0","left"
"149",0.84,0.88,4,263,5,1,0,"0","left"
"151",0.11,0.91,6,278,4,0,0,"0","left"
"152",0.45,0.56,2,154,3,0,0,"0","left"
"154",0.4,0.52,2,155,3,0,0,"0","left"
"156",0.11,0.8,6,304,4,0,0,"0","left"
"158",0.11,0.92,6,305,4,0,0,"0","left"
"159",0.39,0.5,2,136,3,0,0,"0","left"
"161",0.1,0.95,7,301,4,0,0,"0","left"
"163",0.45,0.51,2,147,3,0,0,"0","left"
"164",0.79,0.89,5,239,5,0,0,"0","left"
"165",0.9,0.99,5,260,5,0,0,"0","left"
"166",0.11,0.84,7,296,4,0,0,"0","left"
"169",0.32,0.5,2,135,5,0,0,"0","left"
"170",0.45,0.57,2,158,3,0,0,"0","left"
"171",0.81,0.99,4,259,5,0,0,"0","left"
"175",0.7,0.53,2,274,4,0,0,"0","left"
"177",0.41,0.48,2,148,3,0,0,"0","left"
"182",0.1,0.84,6,261,4,0,0,"1","left"
"183",0.89,0.99,5,257,5,0,0,"1","left"
"184",0.11,0.8,6,285,4,0,0,"1","left"
"186",0.4,0.46,2,127,3,0,0,"1","left"
"189",0.37,0.55,2,152,3,0,0,"1","left"
"190",0.44,0.51,2,156,3,0,0,"2","left"
"191",0.09,0.8,7,283,5,0,0,"0","left"
"192",0.92,0.87,4,226,6,1,0,"1","left"
"193",0.74,0.91,4,232,5,0,0,"1","left"
"197",0.27,0.54,7,278,3,0,0,"0","left"
"198",0.1,0.91,6,287,4,0,0,"0","left"
"200",0.77,0.94,5,226,6,0,0,"0","left"
"202",0.39,0.5,2,135,3,0,0,"0","left"
"204",0.1,0.93,6,256,4,0,0,"0","left"
"205",0.87,0.9,5,254,6,0,0,"0","left"
"207",0.77,0.99,5,228,5,0,0,"0","left"
"208",0.78,0.87,4,228,5,0,0,"0","left"
